SYMBOL	G1	G2	G3
GALT	-26.6884253485389	-8.32194704871148	-8.27540902128924
GCH1	-42.990790547874	-20.4831707322441	-18.025831139706
GGN	-0.211534101498251	0.163331553027344	-5.05044542163635
GLOD4	-12.5946243173615	-13.9763945409033	-25.7516435600394
GNRH2	34.1318616553042	57.6119900776654	44.8656801048637
GPD1L	-31.5058323561025	-48.6518968440831	-50.7676957765477
GPNMB	-35.053063751967	-23.1449764917236	-8.44812277919429
GPR116	-41.3938356045856	-30.3336609877026	-17.179568911742
GPRIN2	9.17142361522802	37.234731280986	46.236818600973
GRHL2	33.8960488851522	43.5047236545479	54.2161837832894
GRPEL1	-26.8486114461409	-26.810008925093	-33.4432945685588
GSTM5	8.61602772822714	10.9881259636448	27.3412264253591
GTF3C1	-24.300990589796	-25.0637418032411	-25.1496907648517
HACE1	-45.8356287565167	-32.8122360191015	-18.9305032470264
HAPLN2	-11.7039692559155	-14.1419441956297	-28.2825853463143
HBEGF	-26.1717254783706	-15.8957907932055	-13.0839490347307
HCG18	-15.162260086061	-19.8318419456432	-26.3417984746724
HDAC2	-46.7666341416124	-25.0147572075698	-15.5553800554472
HEG1	-23.3388998751139	-25.7203148639828	-31.4184270779195
HERC1	-9.45210846903062	-13.016430382146	-25.4922935026587
HGFAC	-30.8945012892697	-20.0470120713516	-15.2283903197698
HIST1H2BH	15.1008055040854	18.6685630650442	29.3062323604362
HIST2H2BA	17.5220921858235	30.6001909981079	44.8320698225824
HIST2H2BF	15.2785626540584	27.5753368796506	39.4917795190797
HMGB1	-8.82408250548829	-9.17529466000203	-17.4226378745491
HMGCR	-31.7981748990667	-17.5194289295336	-14.8786839219904
HMGN3	-30.0168966943549	-31.8344740286261	-42.0850824265107
HMGXB4	29.6932428754102	57.2698530934899	88.7145236776726
HNRNPF	-54.3152360723738	-30.5995306266371	-33.6252877112013
HOXA10	57.7144149456574	88.4943490800829	125.81467084818
HOXC4	26.0269158843203	48.3168872799053	51.3721788447208
HOXD3	18.8397908336643	16.4169634163355	32.1995963527428
HOXD4	22.6826134386211	26.2465036637042	46.9961272997086
IARS	-41.2746303181513	-30.8410417903512	-21.5728857697204
ICK	-14.9575315779598	-13.917076520244	-19.8363145223223
IKZF2	-8.42043620350571	-17.2773189733206	-16.4344072967428
INADL	-18.3562894286413	-20.5479909119738	-35.983845548
IRF1	-24.0246416467697	-17.9927702156554	-15.4523942900914
ISL2	42.2786598114853	60.3209536434491	58.4862627719349
ITM2C	-0.242348756887818	-0.85685060940613	-19.2924835767039
ITPKB	-14.3669731483845	-13.3933553287654	-3.13803437827387
IVD	-26.2948980845188	-38.4035620460415	-47.8555374018868
KCNE4	-68.6168445045367	-46.7045044004561	-29.2962184417434
KCNQ1	40.1577071529268	40.4955670841989	66.0021636287106
KCNQ1OT1	-15.8089199583778	-24.0860421035818	-37.1514524330357
KIAA1712	-13.1677354353109	-18.4665787197522	-35.6233460217065
KIFC3	-27.3716002583164	-28.9643947753539	-47.6658299679487
KLHDC2	-8.1956416017151	-13.4660192079127	-13.291958752944
KLHL33	-2.39618137346755	-0.355487903288112	3.44091119864865
LASP1	-17.0385408165914	-17.6367060653154	-34.2602225287029
LDHB	18.6192407169844	23.5794562217765	34.4233071073139
LIME1	-3.40957614186376	7.19009971284064	15.6167661318462
LIMS2	-28.0226230375361	-14.1785367456378	-8.60850318779469
LIN52	-11.3398150758413	-17.5160580807527	-16.7019109568304
LMO3	20.4124263376325	42.2715342964024	48.4375376336459
LOC100128675	-54.6635794701747	-66.116246101893	-86.8972226742453
LOC340017	-26.8530495104029	-17.5255225763516	-9.93096272629992
LOC648691	-20.4153449009319	-14.217098754669	-38.8076478675892
LOC84931	-17.172854266367	-17.8703795133802	-41.2127937832832
LOXL3	24.160729531302	47.5180758593374	68.6729270918866
LRP5L	7.98816242052393	26.8480581914903	44.7494324460346
LRRN1	18.3986314887293	32.6213642690813	42.4611022802125
LTBP1	-13.6562551690048	-11.4155681741576	-16.9109134703837
LYPD3	22.7445831909074	40.5547618648239	64.8990190396059
MAGEL2	-29.9036648541116	-11.0868859216031	-7.04387217911347
MAN1C1	-6.12019233273161	-0.409181093254984	-23.3126742725804
MANF	-14.165889758824	-22.1044246871255	-22.8801366702773
MAPK9	-10.0341913205547	-18.0196978218395	-18.8465191367975
MAPRE1	-41.7553380364329	-13.4686411340774	-3.73697167344118
MEG3	-22.3480334233218	-16.7283156386361	-4.64159581884262
MEG8	-21.6693548468263	-24.2186893254203	-15.0902140599367
MEI1	20.1145047859708	22.1264811038698	36.1666475933651
MELK	-20.528773652325	-32.3355068000861	-56.4054648447557
MEOX2	23.7670602007743	25.4055666816043	45.1437211314134
MGAT4A	-16.5519954012225	-16.9225733152631	-27.1304643968577
MGC13005	-50.7353045947306	-67.3747313982599	-82.0684654352973
MIER2	-4.37417123199898	-0.998145103739294	-15.1101021477596
MIR10B	17.5572938566193	13.3572183495185	25.1948487832688
MIR1178	20.2100458022855	20.9827336942074	49.454685032226
MIR365-2	-41.6707436408313	-12.5061259186209	-9.58939505821722
MIR376B	-32.7796244358824	-37.1570415847557	-20.2982389381767
MIR611	-12.2592697179109	-12.9642228861663	-13.3025884357646
MIR654	-43.1075344452286	-35.0550909553701	-18.6820425147422
MKL1	-12.5230354932027	-13.2257550377528	-15.589126641235
MKNK2	16.1555121027888	28.5213725373293	53.9801565281746
MLX	-16.1344047572345	-16.8404626850285	-19.4011437213588
MMP12	-62.4869121384266	-22.5717610642999	-22.5228612762727
MOGS	-21.3479531031165	-18.7003133391818	-18.4896951117342
MRPS23	-43.4799848161051	-39.7477818305217	-65.6370684660542
MTIF3	-12.9098190917552	-17.0014200111625	-17.4275574139391
MTMR14	-6.16607837546184	-11.6187458330506	-19.9157039839056
MTRF1L	-17.3206399960847	-18.8628513301943	-20.3163032904956
MTUS1	-8.18277726189686	-13.3818110386521	-22.624193107244
MUC13	-10.2480704157161	-22.6745426118544	-39.156616744865
MUM1	-16.6369409035437	-10.7928819217975	-7.01028628029014
MXD3	-28.5451674984483	-24.0190889216294	-20.0752689542849
MYH10	-19.4436743050843	-18.0832094320385	-37.051347628589
MYO15A	-30.9508782887372	-15.2012566238414	-9.59521855249091
NAPSB	-50.481513121424	-44.4182899809265	-66.6787747026865
NCK2	-21.0108633504021	-22.9722708165206	-11.8989876787905
NCOA6	-60.8266006829123	-76.1092898205491	-110.879763433811
NCRNA00114	-43.1326065371508	-22.8801770053816	-17.382739216655
NDN	-51.4957959036684	-6.7940688852095	-2.38858687042087
NEDD1	-26.564619052174	-34.791747996995	-46.1586861715313
NEURL3	-37.9340643969245	-28.9517155414099	-18.1293521588999
NOLC1	-19.2157707716692	-39.9695724705284	-53.6351184566314
NRCAM	-17.5301089027729	-15.3863780939004	-8.24898403146957
NSUN4	-25.6232980010763	-32.9129859835533	-54.5629369717648
NUMA1	-25.8092034028828	-22.2175659916861	-64.1832068988465
OR8B4	-65.0857574097705	-38.5632726314675	-23.6807292912838
OR8D1	-24.2161038067091	-18.2641104297155	-13.8407701920545
OR9Q1	-41.1423256919239	-30.1059262827457	-14.8878028970738
ORC4L	-33.6098869989988	-16.0619034469969	-7.25640322179234
OSBPL8	-22.154848929825	-19.9195529618673	-32.2679366736116
OSR2	45.1660147364051	77.8988178980018	87.0824174160516
OVOL1	18.4496087920374	23.3711436749789	44.1266082893465
P4HA1	-12.2839008046519	-16.6055574164998	-16.4967838887115
PACSIN3	-23.0501740946382	-9.67160406300678	-11.9347822135737
PAK6	-43.1393082811234	-32.1122877003814	-17.5193020284215
PAPLN	-5.47881430652327	0.501861883744832	11.4901307739326
PAX6	24.5229283781619	25.5326007899127	35.0240334103049
PDE2A	-10.2914593433308	-14.9069837933093	-15.7474764061522
