 NT G1 G2 G3 sum
ANXA2 0.0013986068169745554 0.0005586325022116335 0.0010570375055287775 0.0007112408496858884 0.003725517674400855
MALL 0.0006741249213048914 0.000624510869148781 0.0011770385132096588 0.0012476430774189394 0.0037233173810822706
FAM131A 0.0005829840401420718 0.001556104674152136 0.0007460099002597074 0.000837824990022588 0.003722923604576504
C2orf50 0.0004472962995449168 0.001349602344579775 0.0011403774435019493 0.0007795934885478405 0.0037168695761744816
DLG2 0.00035958204536068624 0.0010741061013270071 0.0009399965139311216 0.0013409135899443234 0.0037145982505631383
OR9Q1 0.0006436213157009223 0.0009777027239303842 0.001253076616463952 0.0008398044190264436 0.003714205075121702
LEAP2 0.0005469478487593279 0.0011415430043556596 0.0011190771893959182 0.0008589825254168165 0.0036665505679277224
GABPB2 0.00038012398376889535 0.001067234790015218 0.0015010626141177526 0.0007140218202552917 0.0036624432081571573
AGFG2 0.0005039741383072605 0.0005822429734447323 0.0013374906888699337 0.0012216371187088089 0.0036453449193307357
UBTF 0.000893794601298667 0.0006001290811367716 0.0010178867964724177 0.00113170065689166 0.003643511135799516
ANG 0.0010414840197881883 0.0006736572716320644 0.0011793007740494646 0.0007486998186375089 0.0036431418841072266
MIR21 0.0005070124059435145 0.0009589542456933933 0.0009937652400012166 0.0011825179445724195 0.0036422498362105437
LARP4 0.0005335080157946087 0.0010478723499215458 0.00108516676398889 0.0009753848068736306 0.003641931936578675
PSMD13 0.00047765963221848006 0.0015584206212900945 0.0009234576342525656 0.0006805728999842456 0.0036401107877453856
MIR1252 0.0004962838548847224 0.0010990705057673327 0.0012618123830675904 0.0007781390405336005 0.003635305784253246
ZNF589 0.0004641829515028689 0.0008924819737977794 0.0011404782678396208 0.0011330761473869765 0.0036302193405272454
ARAP1 0.0004553975617227449 0.0009780174347071267 0.0011550946658705594 0.0010400843325936281 0.003628593994894059
MGAT4A 0.0007233607290449199 0.0006168141385560667 0.0012841821676060996 0.0009983125008596917 0.003622669536066778
CALU 0.0006496965495142935 0.000697041782382875 0.0009098818692429723 0.0013621912876338135 0.0036188114887739545
RUNDC2A 0.0005413758127734143 0.0007312090384345278 0.0014027430458273759 0.0009413498175963285 0.0036166777146316464
MUC13 0.000491257080202659 0.001234201100548684 0.0007112555052487021 0.0011771960751174244 0.0036139097611174696
DNAJC5 0.0006096496549279605 0.0006524337123154651 0.0010562976360669813 0.0012905043512406302 0.003608885354551037
MGRN1 0.0005246039045632263 0.001083377801492143 0.0016946869961526512 0.0003028387572798236 0.003605507459487844
PKNOX2 0.00038445220192847635 0.0009609422288574636 0.001532375168425821 0.0007218422068585295 0.0035996118060702903
POLR2D 0.0008765024082677977 0.0007816943729788793 0.001304304771053319 0.0006367134761655674 0.0035992150284655635
LOXL3 0.0009510274668210327 0.0005819280433676113 0.001291871642284592 0.00077222083936247 0.0035970479918357055
LY6G5C 0.0010141356336962368 0.0008364181137396993 0.0009392715132752319 0.0008058201024597388 0.0035956453631709067
RAB9P1 0.0007553065913249153 0.0005570280375659701 0.0009296328005101405 0.0013533744165781041 0.0035953418459791302
KIAA1712 0.0006455146092682492 0.0006674770203509027 0.0015480392403976531 0.000731011342879035 0.00359204221289584
LASP1 0.00047720950487664183 0.0012261206905822117 0.0013023351159778746 0.0005831032651573454 0.0035887685765940737
FHL3 0.0007311004820373743 0.0008127137888740435 0.0012354993680027664 0.0008062148337479776 0.0035855284726621617
ETFA 0.0005576239570520027 0.0005867459944120855 0.0008201202820713356 0.0016172171845535693 0.003581707418088993
PPWD1 0.00036268463455658376 0.0007622932818209957 0.0013837665809112898 0.0010653166110857254 0.003574061108374595
SLC27A3 0.0008998152620558295 0.0012694078803040985 0.00043086958782393445 0.0009734020610309378 0.0035734947912148003
PHF1 0.0006639227143083796 0.0008931884964884495 0.001214979071665751 0.000798393214780106 0.003570483497242686
HIC1 0.0005791745976362016 0.0007812617440221438 0.0012955743731183672 0.0009073719688389413 0.003563382683615654
C17orf73 0.0005824438173827726 0.0007558283205896519 0.0014673597448769293 0.0007381198000821875 0.0035437516829315415
LOC84931 0.0006281323981309171 0.0005233066189897537 0.001122638861049421 0.0012669678692870396 0.0035410457474571314
NOD1 0.000872861610837215 0.000800051686391165 0.0011613766793112906 0.0007065885840625125 0.003540878560602183
FOXP1 0.0003511203156023734 0.001015829449482281 0.0011833876525092328 0.000986650710132642 0.0035369881277265295
DEPDC1B 0.0009086591206717403 0.0006168558099322265 0.0011175368547989778 0.0008819564035058875 0.0035250081889088318
MKNK2 0.0007024008784323116 0.0005990511884904199 0.0009185067423257875 0.0013041827922403576 0.0035241416014888767
RAB33B 0.0009188590652492673 0.0004587146812700298 0.0012623950087859415 0.0008836057431538044 0.0035235744984590434
KIAA0664 0.0010354212618120795 0.0011217541482609783 0.0008693911455802877 0.0004779531131317128 0.0035045196687850584
LYPD3 0.0004402736133782636 0.0006017601876472463 0.0010713737075753558 0.0013841088108980941 0.00349751631949896
C6orf59 0.00044288289314628373 0.0008084589922187293 0.001424147442295067 0.0008215838185422344 0.0034970731462023144
CNIH4 0.0005428196160059467 0.0008255375738707721 0.0012449144686248917 0.0008835198016408453 0.003496791460142456
B4GALT5 0.0004488407915180383 0.0005340501350313412 0.0014741877945088988 0.001039027453682694 0.0034961061747409723
PRR15 0.0007954399798247719 0.00103426119807223 0.0008711422264396929 0.0007934563913191627 0.0034942997956558574
VASH2 0.0007357973834460945 0.0006851089790179913 0.0016319004287100847 0.000438829454609307 0.0034916362457834776
TSTD1 0.0006338665462975731 0.0010381264718255022 0.0009559211328566261 0.0008515050460938805 0.0034794191970735815
DSE 0.0008071478996722961 0.0011379040897026732 0.000822905156490867 0.0007082418712363481 0.0034761990171021844
HIST2H2BF 0.0007698139113672033 0.0006133802237938305 0.0006825358836010618 0.0014090374190128025 0.003474767437774898
POM121 0.0005164665857318103 0.0007789246178161459 0.0010615461046148242 0.0011147718830151812 0.0034717091911779614
ZSCAN12L1 0.0005947745671111443 0.0011853860164977325 0.0007973103758598637 0.0008894128535952451 0.0034668838130639855
RRBP1 0.0012016352659710652 0.0005924883637224768 0.000941805765211491 0.0007288644607187865 0.0034647938556238195
YIPF5 0.0006370596889465505 0.0009842078333916191 0.0011213442143693064 0.0007156533769222962 0.0034582651136297726
FSTL4 0.0005154692921614339 0.0004252106524071035 0.0013469816417147973 0.0011587242985513315 0.003446385884834666
OSBPL2 0.0005868485957625403 0.0008422290775302748 0.0009588003670741678 0.0010582673934313234 0.003446145433798306
RPL7L1 0.0008603854927880022 0.0005439846223428065 0.0012925586681520802 0.0007476647200204898 0.0034445935033033787
PRR20E 0.00026647839099997627 0.0005095131897578424 0.0018383792619432431 0.0008286821539966394 0.0034430529966977016
KCNQ1OT1 0.0006323720404268732 0.00031803471448241607 0.0010810708457887177 0.0014084533626867214 0.0034399309633847282
NCK2 0.00044525264513168986 0.000847984795650833 0.0008811842067018771 0.0012603172063694538 0.0034347388538538536
MYO1B 0.00039156799563719747 0.0011079901444643026 0.0008815815451120588 0.0010529364128933731 0.0034340760981069317
PLA2G2A 0.0006026792370380934 0.0008326270319138235 0.0012534105587025347 0.0007394873834077996 0.0034282042110622512
ADIPOR1 0.0007270707595531294 0.0007615352495862458 0.0013650917465340305 0.0005594499431381041 0.0034131476988115096
SMPD4 0.00038438691133887406 0.0004703334779196687 0.0011934627810019469 0.001356981805497716 0.0034051649757582056
AAK1 0.0008661634824565542 0.000739453205944703 0.001133841494307091 0.0006601717419998861 0.0033996299247082344
