 G2 G3 sum
MTIF3 0.0024724640712426187 0.0024724640712425463 0.0049449281424851655
TRMT1 0.0024718959945206143 0.0024718959945206984 0.004943791989041313
DUSP6 0.0024713684373053922 0.0024713684373053914 0.004942736874610784
VAX2 0.0024498433178325356 0.002449843317832529 0.004899686635665064
OSR2 0.0024467113230165183 0.002446711323016427 0.004893422646032946
MUC13 0.002446387689526526 0.0024463876895264645 0.004892775379052991
ZNF248 0.0024420845134122482 0.0024420845134124096 0.004884169026824658
FAM195B 0.0024369403947280947 0.0024369403947279798 0.004873880789456074
TIGD1 0.0024355441958146345 0.002435544195814625 0.004871088391629259
C17orf85 0.0024203756899725285 0.002420375689972544 0.004840751379945073
SIX3 0.002417865834233943 0.0024178658342340056 0.004835731668467949
RIMS3 0.0023988145725981993 0.0023988145725981833 0.004797629145196382
PACSIN3 0.0023949786628686422 0.00239497866286868 0.004789957325737322
FDX1 0.0023948283636246186 0.002394828363624631 0.00478965672724925
LIN52 0.002392920247920237 0.0023929202479202904 0.004785840495840528
ACAT2 0.0023868581913246392 0.002386858191324647 0.004773716382649286
PRR20E 0.0023858416605761577 0.002385841660576058 0.004771683321152216
RTBDN 0.0023813934970570686 0.0023813934970571397 0.004762786994114208
CYB5R2 0.0023773858775539176 0.0023773858775539987 0.004754771755107917
MKL1 0.0023715223471486007 0.0023715223471485153 0.004743044694297116
SERINC5 0.0023551316903157936 0.0023551316903158404 0.004710263380631634
DSCR6 0.002339133737429346 0.00233913373742938 0.004678267474858726
FGFR1OP 0.0023317111833936416 0.0023317111833935987 0.00466342236678724
BCDIN3D 0.002329364425131328 0.0023293644251313472 0.004658728850262675
GSTM5 0.0023211052883390358 0.0023211052883390115 0.004642210576678047
GPNMB 0.00229766607842663 0.0022976660784265984 0.004595332156853229
YTHDF2 0.002296565842610774 0.0022965658426107164 0.004593131685221491
ABHD12B 0.0022963455639998572 0.0022963455639998984 0.004592691127999756
C16orf81 0.0022859271482431115 0.002285927148243115 0.004571854296486226
PAK6 0.002284505152858011 0.002284505152857975 0.004569010305715986
ZNF167 0.0022773051460409405 0.0022773051460408407 0.004554610292081781
SCG5 0.0022733945184550625 0.0022733945184550976 0.00454678903691016
POLR3C 0.002271420896667692 0.00227142089666774 0.004542841793335433
P4HA1 0.0022712624348317505 0.002271262434831784 0.004542524869663535
ERRFI1 0.0022712267576041347 0.0022712267576042214 0.004542453515208356
GPR116 0.0022668635325149332 0.0022668635325149055 0.004533727065029839
PKMYT1 0.0022589435299340266 0.0022589435299339784 0.004517887059868005
DEPDC5 0.0022555706980193044 0.002255570698019352 0.0045111413960386565
USP53 0.0022463022712231554 0.0022463022712231684 0.004492604542446324
ZNF263 0.002241324009921533 0.0022413240099215964 0.004482648019843129
CNIH4 0.002236932646645031 0.002236932646644989 0.0044738652932900195
SNHG9 0.002232472757713702 0.0022324727577135665 0.004464945515427268
RCCD1 0.0022282692166684845 0.0022282692166684364 0.004456538433336921
ZNF295 0.0022244662440801593 0.0022244662440802036 0.004448932488160363
LIMS2 0.0022209414104243878 0.002220941410424335 0.004441882820848723
PRR15 0.0022095871422392675 0.002209587142239449 0.004419174284478716
GALT 0.0022063539542427437 0.002206353954242715 0.004412707908485459
CYP1A2 0.0021980031984729876 0.0021980031984731147 0.004396006396946102
RFWD2 0.002193951718766814 0.00219395171876689 0.004387903437533704
CTXN3 0.002182528289306917 0.0021825282893069885 0.004365056578613906
ADAR 0.0021795609502791246 0.002179560950279109 0.0043591219005582335
ADORA1 0.0021779486173793385 0.002177948617379353 0.004355897234758691
MGAT4A 0.002152969333405595 0.0021529693334055673 0.004305938666811162
RGS22 0.0021259716703245384 0.002125971670324515 0.0042519433406490535
DDIT3 0.002124901226944273 0.0021249012269442345 0.004249802453888507
ELMO1 0.0021166071644298035 0.002116607164429852 0.0042332143288596556
PDXP 0.002098841490370972 0.002098841490370978 0.00419768298074195
RUNX3 0.002097732374881444 0.002097732374881432 0.004195464749762876
DMP1 0.0020975254087692917 0.0020975254087692726 0.004195050817538564
C1orf158 0.002094687326244626 0.002094687326244629 0.0041893746524892545
MAN1C1 0.002088569201830388 0.002088569201830393 0.0041771384036607805
MEG8 0.0020813323103022916 0.00208133231030226 0.004162664620604552
SLC25A46 0.0020788321151608458 0.0020788321151607677 0.0041576642303216135
MYH10 0.0020778105293178797 0.0020778105293179083 0.004155621058635788
GCH1 0.0020696720806593206 0.0020696720806593315 0.0041393441613186525
GNRH2 0.002068779363900716 0.0020687793639006646 0.004137558727801381
ST6GALNAC1 0.002068130243468605 0.0020681302434685965 0.004136260486937202
MAGEL2 0.0020628188497556804 0.002062818849755759 0.00412563769951144
ZNF589 0.002060090581356608 0.002060090581356602 0.00412018116271321
C16orf57 0.0020514427832294844 0.002051442783229452 0.004102885566458936
MIR611 0.002034933165200478 0.002034933165200531 0.004069866330401009
C12orf61 0.0020327062618553846 0.002032706261855389 0.0040654125237107736
C17orf90 0.0020296238988611777 0.002029623898861098 0.004059247797722276
KIAA1712 0.0020295522019471387 0.0020295522019470663 0.004059104403894205
ANG 0.0020268016986044086 0.0020268016986044043 0.004053603397208813
RPL41 0.0020240297752972146 0.002024029775297264 0.0040480595505944785
CTNNBIP1 0.0020233922034038087 0.002023392203403802 0.004046784406807611
SNORD30 0.0020226966735927593 0.0020226966735927745 0.004045393347185533
FAM103A1 0.0020215939276795594 0.0020215939276796518 0.004043187855359211
C21orf56 0.0020197844484652738 0.00201978444846529 0.004039568896930563
TMEM173 0.002019329171982598 0.002019329171982608 0.004038658343965206
PIGB 0.0020000313340701736 0.0020000313340700934 0.0040000626681402675
DUSP10 0.001999345149866583 0.001999345149866826 0.003998690299733409
LOXL3 0.0019982818657638428 0.0019982818657639546 0.003996563731527797
PITPNA 0.001996527859769297 0.0019965278597693205 0.003993055719538618
C6orf145 0.0019953451116156147 0.0019953451116156372 0.003990690223231252
PLCG1 0.0019920501797604543 0.0019920501797605437 0.003984100359520998
MIR365-2 0.00199123315101078 0.001991233151010752 0.0039824663020215315
RPTOR 0.0019793786964674097 0.001979378696467513 0.003958757392934923
TBX15 0.001974241393481875 0.001974241393481805 0.00394848278696368
OR9Q1 0.0019736285198768883 0.0019736285198769495 0.003947257039753838
AGAP11 0.001971769037039695 0.001971769037039647 0.0039435380740793415
MEG3 0.00197174783918738 0.0019717478391873882 0.003943495678374768
EXOC3L2 0.001967857676434242 0.001967857676434258 0.003935715352868499
PRPF31 0.001961465826449981 0.0019614658264499817 0.0039229316528999626
ZCCHC17 0.0019533358961369655 0.0019533358961370435 0.003906671792274009
MAPRE1 0.0019528900808608936 0.0019528900808609075 0.003905780161721801
YAP1 0.0019520404392791748 0.0019520404392791267 0.0039040808785583015
STK11IP 0.0019502721131256662 0.0019502721131257135 0.0039005442262513798
SNORD94 0.0019339323730808108 0.0019339323730808127 0.0038678647461616233
LRRN1 0.0019317109493071608 0.0019317109493071666 0.0038634218986143276
HIST2H2BA 0.0019279149698168744 0.001927914969816821 0.0038558299396336954
