 G2 G3 sum
C2orf50 0.0014534668526712971 0.0014534668526713032 0.0029069337053426003
HIST1H2BH 0.0014528662840558385 0.001452866284055865 0.0029057325681117034
MOGS 0.00144505044519926 0.0014450504451992993 0.002890100890398559
ORC4L 0.00144192284425339 0.0014419228442533482 0.002883845688506738
URB2 0.0014391523601028152 0.0014391523601027887 0.002878304720205604
DDR1 0.0014374090089726641 0.0014374090089726605 0.0028748180179453244
DNAJC5 0.0014346041704836917 0.0014346041704837377 0.0028692083409674295
KIFC3 0.0014242556977202081 0.0014242556977202114 0.0028485113954404197
GPD1L 0.001422964270559268 0.0014229642705592465 0.0028459285411185148
HMGXB4 0.0014190427552572837 0.0014190427552572544 0.0028380855105145384
CTBP2 0.0014186947995875631 0.0014186947995876308 0.002837389599175194
TBX15 0.001408303883503446 0.0014083038835034536 0.0028166077670068995
ATG16L1 0.001404908209104053 0.0014049082091040501 0.0028098164182081033
ZMAT3 0.0014048744201795083 0.0014048744201795448 0.002809748840359053
RPL41 0.0014007861483844944 0.001400786148384505 0.0028015722967689996
CALU 0.0013971114865437772 0.001397111486543806 0.0027942229730875835
CCL28 0.001395575376055487 0.001395575376055501 0.002791150752110988
NOLC1 0.0013919493895827408 0.0013919493895827003 0.0027838987791654413
PDRG1 0.0013905082638414397 0.00139050826384144 0.00278101652768288
RGS22 0.0013867882267901077 0.001386788226790141 0.0027735764535802487
LRP5L 0.001386049931340168 0.0013860499313402353 0.0027720998626804033
C20orf29 0.00138451933777074 0.001384519337770745 0.0027690386755414853
KCNQ1OT1 0.0013838466098729687 0.001383846609872948 0.0027676932197459167
CDC42EP1 0.0013803492199986043 0.001380349219998471 0.002760698439997075
MIR611 0.0013744874140332011 0.0013744874140331456 0.0027489748280663468
ZNF295 0.0013733936948727204 0.0013733936948727278 0.0027467873897454483
VASH2 0.001370777412370861 0.0013707774123708134 0.0027415548247416745
TMEM19 0.0013693242760584004 0.0013693242760584267 0.002738648552116827
MTUS1 0.0013666890698682717 0.0013666890698681889 0.0027333781397364605
KLHL33 0.0013635480571150373 0.0013635480571149287 0.002727096114229966
POLR2D 0.001361818274634206 0.0013618182746342109 0.002723636549268417
TSTD1 0.0013586128662545376 0.0013586128662545181 0.0027172257325090558
SNORD94 0.0013585293874399836 0.0013585293874399823 0.002717058774879966
ZNF302 0.0013575746350721716 0.0013575746350721883 0.00271514927014436
ZNF397OS 0.001356981099735605 0.0013569810997355685 0.0027139621994711734
SPG7 0.0013566276108120158 0.0013566276108120028 0.0027132552216240185
C11orf24 0.0013524612817476776 0.0013524612817476373 0.002704922563495315
MLX 0.0013488261247400894 0.001348826124740108 0.0026976522494801974
HOXA10 0.0013480406996430308 0.0013480406996430592 0.0026960813992860898
